T31,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
64,Bhutan,2016,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
64,Bhutan,2015,Patents in force (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
64,Bhutan,2016,Patents in force (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
64,Bhutan,2017,Patents in force (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),2016,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),2017,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),1985,Grants of patents (number),62,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),1995,Grants of patents (number),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),2015,Grants of patents (number),75,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),2016,Grants of patents (number),86,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
68,Bolivia (Plurin. State of),2017,Grants of patents (number),63,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2005,Resident patent filings (per million population),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2010,Resident patent filings (per million population),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2016,Resident patent filings (per million population),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2017,Resident patent filings (per million population),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2005,Grants of patents (number),46,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2010,Grants of patents (number),173,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2016,Grants of patents (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2017,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2005,Patents in force (number),120,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2010,Patents in force (number),716,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2016,Patents in force (number),375,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
70,Bosnia and Herzegovina,2017,Patents in force (number),367,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2015,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2017,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2015,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2016,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2017,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2015,Patents in force (number),"1,514",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2016,Patents in force (number),"1,999",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
72,Botswana,2017,Patents in force (number),"2,035",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,1985,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,1995,Resident patent filings (per million population),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2005,Resident patent filings (per million population),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2010,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2015,Resident patent filings (per million population),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2016,Resident patent filings (per million population),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2017,Resident patent filings (per million population),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,1985,Grants of patents (number),"3,934",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,1995,Grants of patents (number),"2,659",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2005,Grants of patents (number),"2,439",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2010,Grants of patents (number),"3,251",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2015,Grants of patents (number),"3,411",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2016,Grants of patents (number),"4,195",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2017,Grants of patents (number),"5,450",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2005,Patents in force (number),"32,571",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2010,Patents in force (number),"40,022",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2015,Patents in force (number),"23,952",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
76,Brazil,2016,Patents in force (number),"24,153",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
